"SortOrder1","Goal","Target","Indicator","Series Code","Series Description","SortOrder2","Country or Area","SIDS","LDC","LLDC","Frequency","Unit","Location","Age Group","Sex","Source Type","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"020202","2","2.2","2.2.2","SH_STA_WAST","SD                                                                          Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years","01000000","World","False","False","False","Annual","Percent (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.50","NA, 81","","","",""
"020202","2","2.2","2.2.2","SH_STA_WAST_LB","SD                                                                          Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years (lower bound)","01000000","World","False","False","False","Annual","Percent (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.60","NA, 81","","","",""
"020202","2","2.2","2.2.2","SH_STA_WAST_UB","SD                                                                          Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years (upper bound)","01000000","World","False","False","False","Annual","Percent (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.40","NA, 81","","","",""
"020202","2","2.2","2.2.2","SN_STA_OVWGT","SD                                                                          Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years","01000000","World","False","False","False","Annual","Percent (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","5.10","NA, 92","","","","","","","","","5.30","NA, 92","","","","","","","","","5.70","NA, 92","","","","","","","6.10","NA, 92","","","",""
"020202","2","2.2","2.2.2","SN_STA_OVWGT_LB","SD                                                                          Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years (lower bound)","01000000","World","False","False","False","Annual","Percent (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","4.50","NA, 92","","","","","","","","","4.80","NA, 92","","","","","","","","","5.10","NA, 92","","","","","","","5.20","NA, 92","","","",""
"020202","2","2.2","2.2.2","SN_STA_OVWGT_UB","SD                                                                          Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years (upper bound)","01000000","World","False","False","False","Annual","Percent (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","5.60","NA, 92","","","","","","","","","5.80","NA, 92","","","","","","","","","6.40","NA, 92","","","","","","","7.00","NA, 92","","","",""
"020502","2","2.5","2.5.2","ER_NRK_LBRED","SD                                                                          Proportion of local breeds classified as being at risk of extinction","01000000","World","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.70","NA, 63"
"020502","2","2.5","2.5.2","ER_RSK_LBRED","SD                                                                          Proportion of local breeds classified as being not-at-risk of extinction","01000000","World","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.60","NA, 63"
"020502","2","2.5","2.5.2","ER_UNK_LBRED","SD                                                                          Proportion of local breeds classified as being at unknown level of risk of extinction","01000000","World","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.70","NA, 65"
"020601","2","2.a","2.a.1","AG_PRD_ORTIND","SD                                                                          The agriculture orientation index for government expenditures","01000000","World","False","False","False","Annual","Not applicable (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","0.37","NA, 50","","","","","","","0.35","NA, 50","","","","","","","","","0.25","NA, 50","","","","","0.25","NA, 50","","","","","",""
