"SortOrder1","Goal","Target","Indicator","Series Code","Series Description","SortOrder2","Country or Area","SIDS","LDC","LLDC","Frequency","Unit","Location","Age Group","Sex","Source Type","1986","FN","1987","FN","1988","FN","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"020502","2","2.5","2.5.2","ER_UNK_LBRED","SD                                                                          Proportion of local breeds classified as being at unknown level of risk of extinction","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00","C, 79, 159"
"020502","2","2.5","2.5.2","ER_UNK_LBREDN","+                                                                          Number of local breeds classified as being at unknown level of risk of extinction","01020310","Brazil","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.00","C, 79, 159"
"020602","2","2.a","2.a.2","DC_TOF_AGRL","SD                                                                          Total official flows disbursements for agriculture, by recipient","01020310","Brazil","False","False","False","Annual","Constant USD (Millions)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165.70","C, 50, 148","132.43","C, 50, 148","87.54","C, 50, 149","85.04","C, 50, 149","293.87","C, 50, 149","89.79","C, 50, 149","88.24","C, 50, 149","148.83","C, 50, 149","66.33","C, 50, 149","76.30","C, 50, 149","102.40","C, 50, 149","331.53","C, 50, 149","232.89","C, 50, 149","134.36","C, 50, 149","106.62","C, 50, 149","","","",""
"020701","2","2.b","2.b.1","AG_PRD_PSEST","SD                                                                          Producer Support Estimate","01020310","Brazil","False","False","False","Annual","USD (Millions)","Total","Total","Total","Not available","0.00","G, 48","0.00","G, 48","0.00","G, 48","0.00","G, 48","0.00","G, 48","0.00","G, 48","0.00","G, 48","0.00","G, 48","0.00","G, 48","-8,359.11","G, 48","-6,354.23","G, 48","-5,919.95","G, 48","-1,659.97","G, 48","-3,255.33","G, 48","2,789.22","G, 48","1,884.02","G, 48","2,120.09","G, 48","3,337.16","G, 48","2,842.27","G, 48","5,223.73","G, 48","5,242.78","G, 48","5,892.79","G, 48","5,800.05","G, 48","10,799.74","G, 48","9,324.59","G, 48","11,638.44","G, 48","6,876.67","G, 48","6,194.04","G, 48","8,817.67","G, 48","","","",""
"030101","3","3.1","3.1.1","SH_STA_MORT","SD                                                                          Maternal mortality ratio","01020310","Brazil","False","False","False","Annual","Per 100,000 live births (Units)","Total","Total","Total","Not available","","","","","","","","","104.00","E, 122, 182","100.00","E, 122, 182","95.00","E, 122, 182","93.00","E, 122, 182","88.00","E, 122, 182","84.00","E, 122, 182","86.00","E, 122, 182","90.00","E, 122, 182","94.00","E, 122, 182","81.00","E, 122, 182","66.00","E, 122, 182","61.00","E, 122, 182","62.00","E, 122, 182","63.00","E, 122, 182","66.00","E, 122, 182","67.00","E, 122, 182","68.00","E, 122, 182","67.00","E, 122, 182","66.00","E, 122, 182","65.00","E, 122, 182","65.00","E, 122, 182","59.00","E, 122, 182","60.00","E, 122, 182","48.00","E, 122, 182","46.00","E, 122, 182","44.00","E, 122, 182","",""
"030102","3","3.1","3.1.2","SH_STA_BRTC","SD                                                                          Proportion of births attended by skilled health personnel","01020310","Brazil","False","False","False","Annual","Percent (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","87.60","C, 118","","","","","","","","","","","","","","","","","","","97.00","C, 119","","","","","","","","","98.08","C, 120","98.10","C, 121","","","","","","","",""
"030201","3","3.2","3.2.1","SH_DYN_IMRT","+                                                                          Infant mortality rate","01020310","Brazil","False","False","False","Annual","Per 1,000 live births (Units)","Total","Under 1","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10","E","26.10","E","24.30","E","22.50","E","21.00","E","19.50","E","18.20","E","17.10","E","16.20","E","15.40","E","14.80","E","14.40","E","14.30","E","14.30","E","14.40","E","14.60","E","",""
"030201","3","3.2","3.2.1","SH_DYN_IMRTN","+                                                                          Number of infant deaths","01020310","Brazil","False","False","False","Annual","Number (Units)","Total","Under 1","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107,590.00","E","99,482.00","E","91,386.00","E","82,761.00","E","75,013.00","E","67,255.00","E","60,204.00","E","53,879.00","E","48,626.00","E","44,529.00","E","42,049.00","E","41,324.00","E","42,305.00","E","43,966.00","E","45,682.00","E","46,995.00","E","",""
"030201","3","3.2","3.2.1","SH_DYN_MORT","SD                                                                          Under-five mortality rate","01020310","Brazil","False","False","False","Annual","Per 1,000 live births (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.00","E","29.60","E","27.40","E","25.40","E","23.60","E","21.90","E","20.40","E","19.20","E","18.10","E","17.20","E","16.60","E","16.20","E","16.00","E","16.00","E","16.20","E","16.40","E","",""
"030201","3","3.2","3.2.1","SH_DYN_MORTN","+                                                                          Number of under-five deaths","01020310","Brazil","False","False","False","Annual","Number (Units)","Total","Under 5","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.00","E","29.60","E","27.40","E","25.40","E","23.60","E","21.90","E","20.40","E","19.20","E","18.10","E","17.20","E","16.60","E","16.20","E","16.00","E","16.00","E","16.20","E","16.40","E","",""
"030202","3","3.2","3.2.2","SH_DYN_NMRT","SD                                                                          Neonatal mortality rate","01020310","Brazil","False","False","False","Annual","Per 1,000 live births (Units)","Total","Under 1 month","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.00","E","14.90","E","13.90","E","13.00","E","12.20","E","11.50","E","10.80","E","10.40","E","10.30","E","10.50","E","10.70","E","10.80","E","10.70","E","10.30","E","9.60","E","8.90","E","",""
